plot,year,Crops,Forest,Other agricultural lands,Other semi-natural hab.,Urban,Water and wetlands
LAN1,2001,0.219372803413906,0.642770545828597,0,0.101587301587308,0,0.0596999385183208
LAN1,2002,0.220033058018879,0.64711913857818,0,0.101587301587308,0,0.0589927955061558
LAN1,2003,0.220694738008439,0.651443501091375,0,0.101587301587308,0,0.0582935092989338
LAN1,2004,0.221357843080072,0.655743062163702,0,0.101587301587308,0,0.057602004853828
LAN1,2005,0.222022372908774,0.660017266015202,0,0.101587301587308,0,0.0569182075540907
LAN1,2006,0.222688327146966,0.664265572491214,0,0.101587301587308,0,0.056242043214042
LAN1,2007,0.223355705424401,0.668487457244022,0,0.101587301587308,0,0.0555734380838198
LAN1,2008,0.224024507348082,0.672682411895442,0,0.101587301587308,0,0.054912318853898
LAN1,2009,0.224694732502168,0.67684994418043,0,0.101587301587308,0,0.054258612659376
LAN1,2010,0.225366380447895,0.68098957807184,0,0.101587301587308,0,0.0536122470840453
LAN1,2011,0.22603945072348,0.685100853886499,0,0.101587301587308,0,0.0529731501642391
LAN1,2012,0.226713942844044,0.689183328372783,0,0.101587301587308,0,0.0523412503924656
LAN1,2013,0.227389856301521,0.693236574779928,0,0.101587301587308,0,0.0517164767208343
LAN1,2014,0.228067190564573,0.697260182909318,0,0.101587301587308,0,0.051098758564277
LAN1,2015,0.228745945078509,0.701253759148051,0,0.101587301587308,0,0.0504880258035683
LAN1,2016,0.229426119265197,0.705216926485072,0,0.101587301587308,0,0.0498842087881505
LAN1,2017,0.230107712522982,0.70914932451023,0,0.101587301587308,0,0.0492872383387685
LAN1,2018,0.230790724226605,0.713050609396603,0,0.101587301587308,0,0.0486970457499167
LAN1,2019,0.231475153727115,0.716920453866484,0,0.101587301587308,0,0.0481135627921032
LAN1,2020,0.232161000351792,0.720758547141431,0,0.101587301587308,0,0.047536721713937
LAN1,2021,0.232848263404064,0.724564594876797,0,0.101587301587308,0,0.0469664552440406
LAN1,2022,0.233536942163423,0.728338319081196,0,0.101587301587308,0,0.0464026965927921
LAT1,1987,0.697972718196185,0.134750302409108,0.171300937028146,0,0,0
LAT1,1988,0.695039178375392,0.133722311238719,0.174574513316976,0,0,0
LAT1,1989,0.692089715239845,0.132700959701541,0.17789721851498,0,0,0
LAT1,1990,0.689124485110592,0.131686223248446,0.181269277002535,0,0,0
LAT1,1991,0.686143649037009,0.130678077133045,0.184690893639537,0,0,0
LAT1,1992,0.683147372789262,0.12967649641705,0.188162253011359,0,0,0
LAT1,1993,0.680135826848073,0.128681455975586,0.191683518675141,0,0,0
LAT1,1994,0.677109186391747,0.127692930502446,0.19525483240786,0,0,0
LAT1,1995,0.674067631280441,0.126710894515313,0.198876313457616,0,0,0
